,,,,,Countrywise Labour Approval for Falgun 2079,,,,,,,,,,,,,,
,,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
S.N.Country,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
96,B AND G INTERNATIONAL OVERSEAS PVT.LTD,2,0,2
97,B.D. GROUP MAN POWER PVT.LTD.,6,0,6
98,B.GAS FOREIGN EMPLOYMENT PVT. LTD.,8,0,8
99,B.J. OVERSEAS PVT. LTD.,73,0,73
100,B.M. OVERSEAS PVT. LTD.,140,6,146
101,B.S. OVERSEAS PVT. LTD.,147,0,147
102,BABA HUMAN RESOURCE MANAGEMENT PVT. LTD.,35,2,37
103,BABY ANGEL INTERNATIONAL PVT. LTD.,42,0,42
104,BAIBHAV OVERSEAS PVT. LTD.,0,2,2
105,BAJRA HUMAN RESOURCES PVT.LTD.,90,0,90
106,BELIEVABLE OVERSEAS PVT.LTD.,20,0,20
107,BEST RECRUITMENT SERVICE PVT. LTD.,93,61,154
108,BETA INTERNATIONAL MANPOWER PVT. LTD.,8,0,8
,BETA MANPOWER RESOURCES PVT.LTD.(GREAT,,,
109,EMPLOYMENT CERNTER PVT.LTD.),1,0,1
110,BHAIRAB INTERNATIONAL SERVICE PVT. LTD.,3,0,3
111,BHANDARI OVERSEAS PVT. LTD.,43,33,76
112,BHUMIPUTRA FOREIGN EMPLOYMENT SERVICE PVT LTD,78,0,78
113,BIGYAN HR MANAGEMENT PVT. LTD.,77,0,77
114,BINAMAY INTERNATIONAL PVT. LTD.,47,0,47
115,BIRAT OVERSEAS INTERNATIONAL PVT.LTD,121,0,121
116,BISHOJYOTI HR SOLUTION PVT LTD,22,0,22
117,BLUE BIRD OVERSEAS PVT.LTD.,10,0,10
118,BLUE LINK PLACEMENT SOLUTION PVT.LTD,20,0,20
119,Blue Moon Overseas Nepal Pvt. Ltd.,7,2,9
120,BLUE OCEAN OVERSEAS PVT. LTD.,24,0,24
121,BLUE OCEAN RECRUITMENT PVT. LTD.,19,13,32
122,BLUE SKY INTERNATIONAL PVT. LTD.,59,0,59
123,BRIDGE SKY INTERNATIONAL PVT. LTD.,,66,6,72
124,BRIGHT STAR HUMAN RESOURCES PVT. LTD.,,4,1,5
125,BRITISH GORKHA OVERSEAS SERVICES PVT. LTD.,,3,0,3
126,BROADWAY OVERSEAS EMPLOYMENT SERVICE PVT. LTD.,,10,0,10
,Brothers International Employment Pvt. Ltd.(THE LINK FOR,,,,
127,RECRUITMENT CONSULTANCY PVT.LTD.),,176,57,233
128,C. D. HUMAN RESOURCES PVT. LTD.,,61,58,119
